11:54:19.082 257 zb_mac_transport_linux_pipes.c:333	receive full buffer 4 len 29
11:54:19.082 257 zb_mac_transport_linux_pipes.c:356	<<read_from_pipe 29
11:54:19.083 257 mac.c:372	>>mac_parse_recv_dt
11:54:19.083 257 zb_mac_transport_linux_pipes.c:149	>>zb_mac_traffic_dump #3 buf 0x5575685f7c10 / 4 in_b 1 (size 38) is_w 0
11:54:19.083 257 zb_mac_transport_linux_pipes.c:182	t: start 1558169655; t 1558169659 83046, time 266
11:54:19.083 257 zb_mac_transport_linux_pipes.c:192	<<zb_mac_traffic_dump
11:54:19.083 257 mac_common.c:79	>>zb_parse_mhr mhr 0x7fff99f263f0, ptr 0x5575685f7c54
11:54:19.083 257 mac_common.c:89	dst addr mode: 0
11:54:19.083 257 mac_common.c:108	src addr mode: 2
11:54:19.083 257 mac_common.c:173	<< zb_parse_mhr, ret val 7
11:54:19.083 257 mac.c:390	frame_control 0:80, seq_number 58, dst_pan_id 0x0, src_pan_id 0x1e39 dst mode 0 addr 0.0.0.0.0.0.0.0 src mode 2 addr 0.0.0.0.0.0.0.0
11:54:19.083 257 mac.c:395	set mac rx , frm 0 len 37
11:54:19.083 257 mac.c:239	<<can_accept_fr, ret 1
11:54:19.083 257 mac.c:437	BEACON frame
11:54:19.083 257 zb_scheduler.c:254	0x5575685f7420 scheduled cb 0x5575683c7e0f param 4 (in_b 1)
11:54:19.083 257 mac.c:471	beacon found!
11:54:19.083 257 mac.c:498	<<mac_parse_recv_data 0
11:54:19.083 257 mac.c:205	<<zb_mac_recv_data
11:54:19.083 257 zb_scheduler.c:105	cb_q written 1, read_i 4, write_i 5
11:54:19.083 257 zb_scheduler.c:115	0x5575685f7420 calling cb 0x5575683c7e0f param 4 in_b 1 len 37
11:54:19.083 257 nwk_discovery.c:151	>>zb_mlme_beacon_notify_indication 4
11:54:19.083 257 mac_common.c:79	>>zb_parse_mhr mhr 0x7fff99f26460, ptr 0x5575685f7c54
11:54:19.083 257 mac_common.c:89	dst addr mode: 0
11:54:19.083 257 mac_common.c:108	src addr mode: 2
11:54:19.083 257 mac_common.c:173	<< zb_parse_mhr, ret val 7
11:54:19.083 257 nwk_discovery.c:184	beacon payload 0x5575685f7c5f: protocol id 0, version 2, stack profile 1
11:54:19.083 257 zb_address.c:95	>>zb_address_add_pan_id short_pan_id 7737 pan_id 5.6.7.8.0.0.0.0 ref 0x7fff99f26438
11:54:19.083 257 zb_address.c:98	start search pan_id reference from h_i 3
11:54:19.083 257 zb_address.c:134	pan_id ref after find free place 2
11:54:19.083 257 zb_address.c:148	<<zb_address_add_pan_id 0
11:54:19.083 257 nwk_neighbor.c:373	>>exnb_by_short pan 2, addr 0, enbt 0x7fff99f26440
11:54:19.083 257 nwk_neighbor.c:387	try alloc
11:54:19.083 257 nwk_neighbor.c:443	>>alloc_new_extnb pan 2 addr 0 enbt 0x7fff99f26440
11:54:19.083 257 nwk_neighbor.c:455	allocated ext ent 0x5575685f88a8 new used 1
11:54:19.083 257 nwk_neighbor.c:462	<<alloc_new_extnb 0
